coreid	scientificNameID	scientificName	taxonRank	parentNameUsageID	scientificNameAuthorship	family	subfamily	tribe	subtribe	genus	subgenus	specificEpithet	infraspecificEpithet	verbatimTaxonRank	nomenclaturalStatus	namePublishedIn	namePublishedInID	acceptedNameUsageID	taxonomicStatus	originalNameUsageID	taxonRemarks	created	modified	references	kingdom	nomenclaturalCode	bibliographicCitation	rightsHolder	license	rights
wfo-0001026317		Solanum argentinum	SPECIES	wfo-4000035688	Bitter & Lillo	Solanaceae				Solanum 		argentinum		sp.		"""B. & Lillo and Bitter, Repert. Spec. Nov. Regni Veg. 12: 547. 1913., 1913."""	sol-0001026317		accepted					http://solanaceaesource.org/solanaceae/solanum-argentinum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001026335		Solanum armentalis	SPECIES	wfo-4000035688	J.L.Gentry & D'Arcy	Solanaceae				Solanum 		armentalis		sp.		"""J. L. G. & DArcy, Ann. Missouri Bot. Gard. 64: 376. 1978 [1977]., 1978."""	sol-0001026335		accepted					http://solanaceaesource.org/solanaceae/solanum-armentalis	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001026343		Solanum arundo	SPECIES	wfo-4000035688	Mattei	Solanaceae				Solanum 		arundo		sp.		"""Mattei, Boll. Reale Orto Bot. Giardino Colon. Palermo 7: 188. 1908., 1908."""	sol-0001026343		accepted					http://solanaceaesource.org/solanaceae/solanum-arundo	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001026352		Solanum aspersum	SPECIES	wfo-4000035688	S.Knapp	Solanaceae				Solanum 		aspersum		sp.		"""S.Knapp, PLoS ONE 5(5): e10502 [2]. 2010., 2010."""	sol-0001026352		accepted					http://solanaceaesource.org/solanaceae/solanum-aspersum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001026379		Solanum atitlanum	SPECIES	wfo-4000035688	K.E.Roe	Solanaceae				Solanum 		atitlanum		sp.		"""Roe, Brittonia 19: 364. 1967., 1967."""	sol-0001026379		accepted					http://solanaceaesource.org/solanaceae/solanum-atitlanum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001026400		Solanum augustii	SPECIES	wfo-4000035688	Ochoa	Solanaceae				Solanum 		augustii		sp.		"""Ochoa, Bol. Soc. Peruana Bot. 7(1-2): 12. 1974., 1974."""	sol-0001026400		accepted					http://solanaceaesource.org/solanaceae/solanum-augustii	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001026406		Solanum aureitomentosum	SPECIES	wfo-4000035688	Bitter	Solanaceae				Solanum 		aureitomentosum		sp.		"""Bitter, Bitter, and Bitter, Repert. Spec. Nov. Regni Veg. 11: 18. 1912., 1912."""	sol-0001026406		accepted					http://solanaceaesource.org/solanaceae/solanum-aureitomentosum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001026407		Solanum aureum	SPECIES	wfo-4000035688	Dunal	Solanaceae				Solanum 		aureum		sp.		"""Dunal, Solan. Syn. 16: 1816., 1816."""	sol-0001026407		accepted					http://solanaceaesource.org/solanaceae/solanum-aureum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001026424		Solanum aviculare	SPECIES	wfo-4000035688	G.Forst.	Solanaceae				Solanum 		aviculare		sp.		"""G.Forst., Pl. Esc. 42. 1786., 1786."""	sol-0001026424		accepted					http://solanaceaesource.org/solanaceae/solanum-aviculare	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001026440		Solanum axillifolium	SPECIES	wfo-4000035688	K.E.Roe	Solanaceae				Solanum 		axillifolium		sp.		"""Roe, Brittonia 19: 363. 1967., 1967."""	sol-0001026440		accepted					http://solanaceaesource.org/solanaceae/solanum-axillifolium	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
